"date_sold","region","suburb","property_type","price","weekly_household","estimated_annual_household","affordability_ratio","km_from_cbd","num_bed","num_bath","num_parking","property_size"
"30/11/21","Inner South","Zetland","Apartment / Unit / Flat","1060000","2192","113984","9.3","4.72","2","2","2","134"
"2/12/21","Inner West","Leichhardt","House","1525000","2673","138996","10.97","5.31","2","1","1","215"
"3/12/21","CBD & Inner City","Surry Hills","Apartment / Unit / Flat","1825000","2308","120016","15.21","2.14","2","1","1","81"
"3/12/21","CBD & Inner City","Surry Hills","Apartment / Unit / Flat","627000","2308","120016","5.22","2.14","1","1","1","64"
"4/12/21","South / St George","Miranda","House","1435000","1920","99840","14.37","20.95","4","2","2","581"
"4/12/21","South / St George","Miranda","Apartment / Unit / Flat","662500","1920","99840","6.64","20.95","2","2","1","95"
"5/12/21","Inner West","Strathfield","House","2820000","2262","117624","23.97","12.01","5","2","5","607"
"6/12/21","Inner West","Burwood","House","6600000","1671","86892","75.96","9.9","6","3","6","3269"
"6/12/21","North Shore","Epping","House","2620000","2243","116636","22.46","15.95","4","3","2","1005"
"6/12/21","North Shore","Epping","House","2280000","2243","116636","19.55","15.95","4","2","2","541"
"6/12/21","North Shore","Epping","House","2021000","2243","116636","17.33","15.95","3","2","2","674"
"7/12/21","Inner West","Strathfield","House","1985000","2262","117624","16.88","12.01","4","2","1","658"
"10/12/21","CBD & Inner City","Sydney","Apartment / Unit / Flat","1200000","2227","115804","10.36","0.31","1","1","0","69"
"11/12/21","CBD & Inner City","Sydney","Apartment / Unit / Flat","4100000","2227","115804","35.4","0.31","2","2","1","137"
"11/12/21","South / St George","Miranda","House","2700000","1920","99840","27.04","20.95","6","4","2","903"
"11/12/21","Inner South","Mascot","House","1750000","2254","117208","14.93","9.35","3","1","1","334"
"13/12/21","Inner West","Strathfield","House","3155000","2262","117624","26.82","12.01","5","2","4","676"
"13/12/21","North Shore","Eastwood","House","2751000","1945","101140","27.2","14.34","3","1","2","712"
"14/12/21","Inner West","Strathfield","House","7800000","2262","117624","66.31","12.01","6","5","8","2111"
"14/12/21","Inner West","Strathfield","House","4338000","2262","117624","36.88","12.01","5","5","4","670"
"14/12/21","Inner South","Redfern","House","2370000","2145","111540","21.25","3.12","2","2","1","107"
"14/12/21","South / St George","Miranda","House","1805000","1920","99840","18.08","20.95","3","1","2","550"
"14/12/21","South / St George","Miranda","House","1800000","1920","99840","18.03","20.95","3","2","3","796"
"15/12/21","North Shore","Epping","House","4035000","2243","116636","34.59","15.95","5","4","2","765"
"15/12/21","North Shore","Chatswood","House","3300000","2158","112216","29.41","8.15","4","2","2","1682"
"15/12/21","North Shore","Eastwood","House","2932000","1945","101140","28.99","14.34","4","2","2","954"
"15/12/21","Inner West","Ashfield","House","2510000","1888","98176","25.57","8.08","4","2","4","700"
"15/12/21","North Shore","Carlingford","House","2130000","2084","108368","19.66","18.2","3","2","2","740"
"15/12/21","North Shore","Carlingford","House","1865000","2084","108368","17.21","18.2","4","2","2","695"
"15/12/21","Inner West","Marrickville","House","1725000","2170","112840","15.29","7.23","2","1","1","442"
"15/12/21","Inner South","Alexandria","House","1705000","2654","138008","12.35","5.06","2","2","1","169"
"16/12/21","South / St George","Kogarah","House","2134000","1903","98956","21.57","13.34","3","2","3","531"
"16/12/21","Inner West","Leichhardt","House","1900000","2673","138996","13.67","5.31","3","1","2","272"
"17/12/21","North Shore","Epping","House","2050000","2243","116636","17.58","15.95","4","2","2","784"
"17/12/21","Inner West","Marrickville","House","1830000","2170","112840","16.22","7.23","2","1","2","234"
"17/12/21","South / St George","Miranda","Apartment / Unit / Flat","1050000","1920","99840","10.52","20.95","2","2","1","138"
"18/12/21","Inner West","Burwood","House","3625000","1671","86892","41.72","9.9","4","0","2","715"
"18/12/21","Inner West","Burwood","House","3625000","1671","86892","41.72","9.9","4","2","2","715"
"18/12/21","North Shore","Epping","House","2850000","2243","116636","24.43","15.95","6","4","2","752"
"18/12/21","North Shore","Chatswood","House","2665000","2158","112216","23.75","8.15","3","1","2","512"
"18/12/21","North Shore","Carlingford","House","2541000","2084","108368","23.45","18.2","4","3","2","753"
"18/12/21","North Shore","Carlingford","House","2080000","2084","108368","19.19","18.2","4","3","2","859"
"18/12/21","North Shore","Carlingford","House","1925000","2084","108368","17.76","18.2","4","2","2","929"
